cousub_fips,town_name,state,county_fips,town_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
0901561030,Pomfret town,CT,09015,8.46,10.22,36.5,60.5,-24.0,2.1,90.0,1.5,3.0,2.4,0.1,0.0
0901562710,Putnam town,CT,09015,-8.86,-7.1,43.8,53.2,-9.4,2.0,87.8,1.5,4.3,1.1,0.4,0.1
0901567400,Scotland town,CT,09015,-18.72,-16.96,48.1,48.8,-0.7,2.3,93.8,0.3,2.7,0.0,0.0,0.0
0901573420,Sterling town,CT,09015,-40.93,-39.17,57.5,39.4,18.1,2.2,88.7,0.6,2.6,0.6,0.5,0.0
0901575870,Thompson town,CT,09015,-26.18,-24.42,51.3,45.7,5.6,2.3,92.1,0.6,2.2,0.8,0.3,0.0
0901586790,Windham town,CT,09015,20.28,22.04,29.1,67.9,-38.8,-2.7,53.0,3.9,35.6,3.9,0.2,0.0
0901588190,Woodstock town,CT,09015,-3.69,-1.93,41.7,55.2,-13.5,2.3,93.1,0.4,2.0,1.0,0.2,0.0
2300102060,Auburn city,ME,23001,6.78,8.54,37.1,59.9,-22.8,2.4,89.6,3.4,2.0,0.9,0.4,0.0
2300119105,Durham town,ME,23001,1.04,2.8,39.6,57.4,-17.7,2.5,95.2,0.2,0.9,0.5,0.1,0.0
2300129255,Greene town,ME,23001,-30.72,-28.95,53.1,43.8,9.3,2.5,94.8,0.5,0.9,0.3,0.3,0.0
2300138565,Leeds town,ME,23001,-28.32,-26.56,52.1,44.9,7.2,2.5,93.0,0.7,1.0,0.2,0.5,0.0
2300138740,Lewiston city,ME,23001,8.37,10.13,36.5,60.5,-24.0,2.5,82.7,9.6,2.0,1.2,0.4,0.1
2300140035,Lisbon town,ME,23001,-11.04,-9.28,44.7,52.3,-7.6,2.4,92.6,0.9,1.5,0.6,0.4,0.1
2300140665,Livermore town,ME,23001,-19.29,-17.52,48.2,48.7,-0.5,2.5,94.3,0.3,1.1,0.3,0.1,0.1
2300140770,Livermore Falls town,ME,23001,-23.88,-22.12,50.2,46.8,3.4,2.4,92.3,0.1,1.3,0.6,0.3,0.0
2300144585,Mechanic Falls town,ME,23001,-20.5,-18.74,48.8,48.2,0.6,2.6,93.4,0.5,0.5,0.5,0.2,0.0
2300146160,Minot town,ME,23001,-23.01,-21.25,49.8,47.1,2.7,2.5,94.9,0.3,0.9,0.6,0.0,0.0
2300160020,Poland town,ME,23001,-13.18,-11.42,45.6,51.3,-5.7,2.5,94.2,0.4,1.2,0.5,0.5,0.0
2300164570,Sabattus town,ME,23001,-28.73,-26.97,52.3,44.7,7.6,2.5,93.7,0.6,0.9,0.5,0.4,0.0
2300177800,Turner town,ME,23001,-26.04,-24.28,51.1,45.9,5.2,2.4,93.9,0.4,1.5,0.4,0.6,0.0
2300179585,Wales town,ME,23001,-42.8,-41.04,58.2,38.7,19.5,2.5,94.7,0.0,1.0,0.8,0.2,0.0
2300300800,Allagash town,ME,23003,-21.05,-19.29,49.1,47.9,1.2,2.7,97.6,0.0,0.0,0.0,0.5,0.0
2300301220,Amity town,ME,23003,-60.51,-58.75,65.8,31.2,34.6,2.5,91.8,1.0,1.0,0.0,0.5,0.0
2300301710,Ashland town,ME,23003,-31.91,-30.15,53.7,43.3,10.4,2.6,97.1,0.1,0.3,0.0,0.4,0.0
2300302762,Bancroft UT,ME,23003,-11.11,-9.35,44.7,52.3,-7.6,2.4,93.3,0.0,2.2,0.0,0.0,0.0
2300305385,Blaine town,ME,23003,-52.41,-50.64,62.4,34.6,27.8,2.6,97.0,0.2,0.6,0.0,0.9,0.0
2300307065,Bridgewater town,ME,23003,-45.7,-43.93,59.4,37.5,21.9,2.4,94.5,0.9,1.4,0.0,1.4,0.0
2300310565,Caribou city,ME,23003,-20.13,-18.37,48.6,48.4,0.2,2.4,94.0,0.5,1.1,0.8,0.9,0.0
2300311300,Castle Hill town,ME,23003,-14.29,-12.52,46.2,50.8,-4.6,2.6,96.1,0.6,0.3,0.0,1.0,0.0
2300311335,Caswell town,ME,23003,-33.87,-32.11,54.3,42.6,11.7,2.3,92.5,0.4,1.7,1.3,2.1,0.0
2300311785,Central Aroostook UT,ME,23003,-18.52,-16.76,48.0,48.9,-0.9,2.7,95.7,0.7,0.0,0.0,0.0,0.0
2300312000,Chapman town,ME,23003,-35.85,-34.09,55.4,41.6,13.8,2.7,98.9,0.3,0.0,0.0,0.0,0.0
2300313900,Connor UT,ME,23003,-18.75,-16.99,48.0,49.0,-1.0,2.4,92.4,0.0,0.3,0.0,5.8,0.0
2300315395,Crystal town,ME,23003,-54.25,-52.49,63.1,33.9,29.2,2.5,94.6,0.0,1.0,0.0,1.5,0.0
2300315990,Cyr plantation,ME,23003,-10.34,-8.58,44.5,52.4,-7.9,2.7,95.8,0.0,0.0,0.0,0.0,0.0
2300319210,Dyer Brook town,ME,23003,-55.1,-53.34,63.4,33.5,29.9,2.4,93.7,0.0,1.1,0.6,2.3,0.0
2300319420,Eagle Lake town,ME,23003,-20.25,-18.49,48.7,48.2,0.5,2.6,96.9,0.7,0.6,0.1,0.0,0.0
2300321380,Easton town,ME,23003,-36.49,-34.73,55.6,41.4,14.2,2.5,95.8,0.3,0.6,0.4,0.8,0.1
2300325615,Fort Fairfield town,ME,23003,-18.76,-17.0,48.0,49.0,-1.0,2.4,94.2,0.5,1.3,0.3,0.8,0.0
