race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,25.03,99.3,0.7,Safe D,13.15,5.5,25.03,2.84,3.55,-0.01,11.29,13.74,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,0,2083870,50021,0,510004,0,7471143,88913,0,1302169,28371,0,958273,999,0,0,2200,0,0,0,0,62.52,37.48,0.0,1397214,837707,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,24.71,99.3,0.7,Safe D,15.57,5.5,24.71,2.25,1.67,-0.28,14.84,9.87,False,False,,0,,0.0,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,4168081,159367,0,4793384,98413,0,11559,0,1559897,60954,0,60175,5698,0,1408377,300,0,0,129260,0,0,129250,0,62.35,37.65,0.0,222940,134602,0,0,357542
FL-SEN,senate,FL,SEN,Angie Nixon,Ashley Moody,DEM,REP,REP,REP,-5.9,27.6,72.4,Lean R,-8.61,5.5,-6.07,-1.8,-1.67,0.51,-13.22,7.32,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,44.14,48.26,6,-4.88,0.288,974845,11270805,0,264978,8491175,0,52168,603843,709866,2779629,0,576840,1529142,0,0,2083000,0,0,0,0,0,0,0,47.05,52.95,0.0,3601416,4053410,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.53,89.5,10.5,Likely D,-0.75,5.5,13.02,1.67,6.73,-0.12,-2.21,14.74,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,53.62,42.98,11,11.98,0.257,77279766,7409350,0,42587451,2079981,0,991911,2854868,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.27,43.73,0.0,2067828,1607218,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.49,39.9,60.1,Lean R,-7.47,5.5,-3.81,-0.19,-0.93,-0.71,-13.45,10.96,False,False,LIB,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.37,44.41,15,1.25,0.37,6276527,10217845,0,2362314,6749491,0,18405492,17510118,3914213,5396429,0,2726556,1052135,0,440127,2232367,0,0,0,0,0,0,0,47.47,49.9,2.63,552798,581031,30625,0,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-24.4,0.8,99.2,Safe R,-31.37,5.5,-29.17,-1.14,-1.67,-0.49,-37.52,13.12,False,True,IND,0,,0.0,Todd Achilles,37.8,0.8,,,0.0,,confirmed,29.96,39.02,5,-9.93,0.256,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,62.2,0.0,0,394064,0,239479,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,21.0,98.1,1.9,Safe D,15.18,5.5,21.0,0.32,0.0,0.0,11.14,9.86,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,0,1107958,1512424,0,10437456,11068156,4798641,947466,0,1182892,27050,0,426634,12325,0,0,2000000,0,0,2000000,0,60.5,39.5,0.0,2392613,1562123,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-8.94,18.6,81.4,Likely R,-14.64,5.5,-10.7,-0.05,-1.09,-0.43,-16.41,7.48,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.84,45.58,5,-2.41,0.296,4169078,4009075,0,1730621,5388078,0,842009,2202075,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,45.53,54.47,0.0,423134,506179,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-27.17,0.4,99.6,Safe R,-30.07,5.5,-31.04,-0.86,-4.86,-0.75,-31.03,3.86,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.99,49.0,2,-11.56,0.203,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729356,0,24750,1995311,0,0,0,0,89868,0,0,36.42,63.58,0.0,528822,923347,0,0,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-23.76,1.0,99.0,Safe R,-21.43,5.5,-23.76,-0.45,-7.1,-0.28,-22.36,-1.4,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,38.12,61.88,0.0,535536,869347,0,0,1404882
