state,county_fips,cd_code,votes_dem,votes_rep,votes_total,pres16_dem,pres16_rep,pres20_dem,pres20_rep,pop_tot,vap_tot,vap_white,vap_black,vap_hisp,vap_asian,vap_native,vap_pacific
AZ,04021,AZ-02,34921,48419,84141,20166,26885,31818,39259,177448,135850,73857,8990,35819,2386,9352,300
AZ,04021,AZ-05,27629,54212,82665,14945,29491,25600,45798,157865,116972,84453,3921,21045,1959,923,267
AZ,04021,AZ-06,17187,22649,40157,12072,15392,16748,20555,83686,67977,38441,2486,22212,848,1331,201
AZ,04021,AZ-07,920,1646,2589,709,1052,940,1464,6265,4841,2476,50,1726,19,406,1
AZ,04023,AZ-07,11265,7699,19121,11690,3897,13138,6194,47669,35215,6501,96,27978,227,63,13
AZ,04025,AZ-02,48717,99346,149402,35590,71330,49602,91527,236209,199136,161266,1181,23500,2467,2463,214
AZ,04027,AZ-07,16049,15765,32110,17466,9211,21001,14186,124811,90348,16274,2002,68579,836,1027,71
AZ,04027,AZ-09,10774,24980,36085,7139,15954,11209,22348,79070,62821,37177,964,21100,1100,398,102
CA,06001,CA-08,485,48,553,371,32,537,48,960,739,251,26,60,364,0,0
CA,06001,CA-10,22169,9362,32773,22391,7208,27455,9381,81110,63007,20713,5575,14889,18246,173,422
CA,06001,CA-12,268590,33866,317800,285428,21153,328083,31664,757696,620467,218289,96159,131520,134999,1618,2891
CA,06001,CA-14,186461,87323,285133,184744,61268,234234,85671,759102,589195,159247,28015,127814,241209,1431,6475
CA,06001,CA-17,21750,10145,33397,21326,6196,27350,9545,83485,64980,11677,1435,11895,37131,97,567
CA,06003,CA-05,479,243,738,334,217,476,244,1204,1009,726,9,62,11,162,0
CA,06005,CA-05,7783,14018,22402,6003,10485,8153,13585,40474,34042,25572,1184,4550,478,450,53
CA,06007,CA-01,44223,47176,94515,41567,45144,50815,48819,211632,168339,116628,2606,28425,7828,2317,416
CA,06009,CA-05,9181,16625,26479,7944,13510,10046,16518,45292,37337,29518,254,4153,621,422,66
CA,06011,CA-04,2431,4414,7021,2661,3551,3239,4559,21839,15733,5832,138,8830,211,198,55
CA,06013,CA-08,80771,19476,104022,80486,11029,99113,17234,272191,214609,51103,31442,72825,46630,497,1063
CA,06013,CA-09,50542,25858,78837,45942,15726,61991,22656,214067,161648,40688,28082,56667,25412,553,1790
CA,06013,CA-10,224437,109725,345519,193439,89265,255281,112987,679669,526415,290494,16954,90977,98040,1013,1630
CA,06015,CA-02,4266,5991,10556,3485,5134,4677,6461,27743,22052,13613,803,3988,571,1448,19
CA,06017,CA-03,12661,10974,24409,9883,8883,14235,10858,47726,38954,28490,206,6470,1342,269,33
CA,06017,CA-05,430,725,1185,421,660,487,714,1967,1661,1361,5,158,20,6,12
CA,06017,CA-07,34606,49386,86266,26099,39708,36899,50266,141492,111468,86398,937,11250,5680,732,172
CA,06019,CA-05,32817,50730,85679,26326,42921,38271,53016,172548,132092,75041,3596,29128,17341,901,205
CA,06019,CA-13,1967,1670,3744,2265,761,2840,1278,23297,15729,946,236,14345,54,47,3
CA,06019,CA-18,1500,2186,3790,1448,1666,1998,2272,18325,14265,4294,590,8626,327,101,22
CA,06019,CA-20,10208,19269,30168,6087,12592,10773,18126,57690,42436,22444,797,10571,6380,340,43
CA,06019,CA-21,90234,75210,170061,90751,54357,119457,73530,626744,447980,104968,24036,254365,48552,2815,623
CA,06019,CA-22,14839,16706,32334,14469,11772,19686,16246,110050,77743,18380,3028,45168,8693,328,72
CA,06021,CA-01,3246,6861,10384,3065,5788,3995,7063,28917,21464,11304,121,8394,477,349,24
CA,06023,CA-02,39787,21553,64209,33200,18373,44768,21770,136463,109809,79016,1469,13080,2665,5193,330
CA,06025,CA-25,26011,26446,53849,32666,12706,34678,20847,179702,132200,14316,3498,109692,1970,1124,72
CA,06027,CA-05,4202,4461,8945,3155,4248,4634,4620,19016,15180,9606,75,2971,235,1588,12
CA,06029,CA-20,54269,113575,171771,42047,95200,61701,116942,403465,300316,167848,11303,85901,18078,2416,535
CA,06029,CA-22,51578,50881,105447,54722,31208,68928,43958,486467,336667,51898,20468,238899,16628,1582,280
CA,06029,CA-23,2333,3238,5777,1921,3178,2737,3584,19303,14756,6113,2636,4572,432,118,38
CA,06031,CA-18,640,655,1342,718,240,907,441,13738,10482,1631,96,8461,77,76,13
CA,06031,CA-20,10412,19408,30461,8354,14967,12064,18801,87250,63365,27957,3135,25093,3847,463,182
CA,06031,CA-22,4446,4944,9608,4560,2937,5727,4826,51498,38088,6652,3634,25621,675,654,55
CA,06033,CA-01,11523,11620,23864,10427,9478,13543,11763,62133,49335,33937,947,9409,746,1152,76
CA,06033,CA-04,1268,1534,2885,1073,1125,1398,1360,6030,4745,3559,37,783,45,64,2
CA,06035,CA-01,2478,8614,11366,2224,7574,2799,8970,32730,27226,16077,2191,6363,406,739,204
CA,06037,CA-23,2149,2399,4703,2170,2035,2856,2435,16591,12324,4205,804,6631,134,68,14
CA,06037,CA-26,50849,41211,94604,46406,33073,59823,41964,179428,141394,90385,5005,23497,15176,290,124
CA,06037,CA-27,158098,129341,296428,145150,97489,193793,129109,760812,574222,197330,54363,243309,54601,1571,816
CA,06037,CA-28,170730,81469,261085,158998,57845,206456,83601,633903,518649,125420,18843,128197,231035,667,350
CA,06037,CA-29,155768,75506,238630,167676,38125,205571,66666,756731,594179,149135,24231,354181,50586,1035,575
CA,06037,CA-30,232878,96736,341291,225661,66968,273482,101812,758735,649691,370905,22961,142472,83619,982,536
CA,06037,CA-31,137436,102320,247347,136081,70166,174976,100086,635010,503948,107052,16627,263063,102884,1175,634
