candidate,name_key,state,party,cycles,strength
"finney, gail",finney gail,KS,d,1,0.5032358286242911
"mcfarland, fiona",fiona mcfarland,FL,r,3,-0.1192766151759459
"nave, fiona",fiona nave,MT,r,1,-44.9500250439988
"fiorelli, james",fiorelli james,KY,d,1,-6.83684001354527
"fiorello, kimberly",fiorello kimberly,CT,r,2,-19.76911986717678
"fipps, ken",fipps ken,SC,r,1,5.907085092918788
FIRSING,firsing,TX,r,1,-1.9924296725438566
"fischer, jason",fischer jason,FL,r,1,0.018464720477846086
"fischer, joseph m",fischer joseph,KY,r,1,-5.32777647883503
MARTINEZ FISCHER,fischer martinez,TX,d,1,4.5670336548552655
PETER M FISCHER,fischer peter,MN,d,1,-0.19106090511661833
"fischer, susan",fischer susan,TX,r,1,-0.8467423874993933
TEX FISCHER,fischer tex,OH,r,1,10.125260039733945
JEFFREY W FISHER,fisher jeffrey,RI,r,1,19.279706502802664
"fisher, joann",fisher joann,MD,r,1,10.06291203204303
"fisher, susan c",fisher susan,NC,d,1,7.837275579462366
"fitch, ken",fitch ken,MD,r,1,7.213479154863009
"fitch, milton f (toby), jr",fitch milton toby,NC,d,2,5.189667192100484
JAKE FITISEMANU,fitisemanu jake,UT,d,1,1.8937558513553023
JOAN FITZGERALD,fitzgerald joan,WI,d,1,-3.181278325458414
"fitzgerald, john",fitzgerald john,MI,d,2,-3.2009421723212523
JOHN FITZGERALD,fitzgerald john,NH,d,1,-7.506696275232246
"fitzgerald, mary",fitzgerald mary,SD,r,1,-22.71286026428534
"fitzgerald, richard j",fitzgerald richard,ME,d,1,-47.207324100027016
"fitzgerald, ross h",fitzgerald ross,MT,r,2,-10.015782312477054
"fitzgibbon, joe",fitzgibbon joe,WA,d,2,2.615194567269903
"fitzpatrick, john",fitzpatrick john,MT,r,1,53.82309315211756
"fitzpatrick, michael j",fitzpatrick michael,NY,r,2,-12.124427833274453
"fix, thomas h, jr",fix thomas,NY,r,2,-1.2882209320258629
JADE A FLAD-VILARDI,flad jade vilardi,NH,d,1,2.637816005233418
"flakoll, tim",flakoll tim,ND,r,1,-8.467388060067005
"flanagan, thomas e",flanagan thomas,MT,d,1,-47.9500250439988
LISA FLANDERS,flanders lisa,VT,r,1,-9.061520186022783
"flannery, patrick",flannery patrick,KY,r,1,19.555336201994713
"fleishman, lisa",fleishman lisa,IA,d,1,-3.3908580106519963
"fleming, frank",fleming frank,MT,r,1,7.93476898722585
"fleming, justin c",fleming justin,PA,d,1,2.4373733368258037
"fleming, ken",fleming ken,KY,r,3,-6.036952314515008
MELANIE FLEMING SACHS,fleming melanie sachs,ME,d,1,-2.5082473306135427
"fleming, rita a",fleming rita,IN,d,1,-1.8176411799465109
"fleming, ryan p",fleming ryan,NV,r,1,2.4216997684703596
"fleming, tim",fleming tim,GA,r,1,-5.620709534936424
"larsen, flemming",flemming larsen,NV,r,1,-3.7699191305956234
"fletcher, michael",fletcher michael,OH,d,1,2.2488720911023776
OWEN G FLETCHER,fletcher owen,MA,d,1,-27.546940473494566
"flexer, mae",flexer mae,CT,d,3,-5.214408556375084
"flick, sara",flick sara,MN,d,1,-23.79718619768348
GENEVIEVE FLIEGER,flieger genevieve,OH,d,1,-10.27041348159742
"flippo, scott",flippo scott,AR,r,1,-0.7021460309384011
JAMES FLIS,flis james,NH,d,1,-6.356052551380856
JOHN PATRICK FLOOD,flood john patrick,PA,d,1,-12.043957363546554
"flora, heath",flora heath,CA,r,2,-50.92248003194611
JOEL FLOREK,florek joel,IN,r,1,0.28652855738687166
"friebel, florence l",florence friebel,PA,r,1,-3.434572642177539
"flores, maria l (lulu)",flores lulu maria,TX,d,1,9.223416642226042
"flores, peter p",flores peter,TX,r,2,-8.123001254785581
"floria, kim",floria kim,GA,d,2,-7.036148057290841
"florian, heather a",florian heather,NV,r,1,0.5573631433666151
"florio, jessica b",florio jessica,PA,r,1,-0.09368537733292648
"flowers, mary e",flowers mary,IL,d,1,3.0833537883916335
"flowers, pat",flowers pat,MT,d,1,-9.807289739462576
FLOYD GRIFFIN,floyd griffin,GA,d,1,-1.3140805797923356
"nicholson, floyd",floyd nicholson,SC,d,1,21.630825079433947
"fluharty, shawn l",fluharty shawn,WV,d,3,23.57849430061402
"flynn, john j",flynn john,CT,r,1,1.1760255060620324
"flynn, martin b, ii",flynn martin,PA,d,2,18.672268081810984
PAUL R FLYNN,flynn paul,ME,r,1,-7.992833254455713
"flynn, philip e",flynn philip,CT,r,1,3.4807305591263358
FODY MERRITT JR,fody merritt,FL,d,1,-2.7883876413702637
"fogarty, kathleen a",fogarty kathleen,RI,d,2,-6.594871229382251
"fogel, mark",fogel mark,OH,d,1,-18.39356051742511
"fogel, mike",fogel mike,AZ,d,2,0.4627958902306422
MARJ J FOGELMAN,fogelman marj,MN,r,1,0.12410175798190437
"fogg, patricia a",fogg patricia,ME,d,1,-36.98851238621676
"fokszanskyjconti, helen",fokszanskyjconti helen,AZ,r,1,51.92545693323976
"foley, francis l, jr",foley francis,PA,d,1,-1.7172277119910966
"foley, jennifer",foley jennifer,TN,d,1,-6.74965390539116
"foley, john",foley john,CO,d,1,-9.916598261588529
"foley, linda",foley linda,MD,d,1,-1.4166366986437708
"folz, stephen (steve)",folz stephen steve,IN,d,1,2.0888449052942413
"foncello, martin",foncello martin,CT,r,2,-7.766994477833222
"fonfara, john w",fonfara john,CT,d,2,-4.754597841602074
"fong, fun",fong fun,GA,r,1,48.51793793646144
"fong, mike",fong mike,CA,d,2,0.40637220952069164
"fong, vince",fong vince,CA,r,1,-21.136280536547872
RINA FONTANA MOORE,fontana moore rina,MT,d,1,2.2234457002729835
"fontenot, ken",fontenot ken,NC,r,2,-0.5812582146681278
"foos, jordan",foos jordan,SD,d,1,4.0398120653100555
"forbes, john",forbes john,IA,d,1,23.78309336471907
"ford, james d (jd)",ford james jd,IN,d,1,-11.31381521484113
JOHN FORD,ford john,NC,d,1,-1.48934338830243
LA SHAWN K FORD,ford la shawn,IL,d,1,-3.871929865387827
"ford, lashawn k (shawn)",ford lashawn shawn,IL,d,1,-10.67335582029262
"ford, lori",ford lori,HI,r,1,0.9536608922533674
MARY J FORD,ford mary,NH,r,1,-6.234035116022692
"ford, susan m",ford susan,NH,d,1,-12.571180415834416
"fordbrenning, julie",fordbrenning julie,NM,d,1,-13.125224525070385
"forde, sue",forde sue,WA,r,2,-1.58601727162679
"fordfaulkenberry, gwen",fordfaulkenberry gwen,AR,d,1,-8.634065965113294
"foreman, john",foreman john,NM,r,2,0.20573717913559975
"foreman, michelle",foreman michelle,TN,r,1,0.845746375853488
MORGAN FOREMAN,foreman morgan,MI,d,1,-0.45545381775696825
"formica, paul m",formica paul,CT,r,1,-23.860372190318863
"wolfe, forrest m",forrest wolfe,AK,r,1,-5.107506752443088
"forsman, justin",forsman justin,WA,r,1,3.2992233225796888
"forte, kathleen",forte kathleen,IN,d,1,-1.4788221436786984
"forte, stefano",forte stefano,NY,r,1,-7.620555437097007
"fortenberry, jerry",fortenberry jerry,TX,r,1,3.433798721178178
SUZANNE FORTENBERRY,fortenberry suzanne,IN,d,1,-4.479768713905305
JOANNE R FORTI,forti joanne,RI,r,1,-0.09773546517453369
"fortier, mary b",fortier mary,CT,d,3,-2.6006726815278722
GAY FORTSON,fortson gay,GA,d,1,-15.733668496264801
"foss, richard a, jr",foss richard,ME,r,1,15.465768247098168
"fosse, mary",fosse mary,WA,d,2,14.357740173334761
"fossinger, meg",fossinger meg,CO,d,1,14.445004134726293
"foster, geoff",foster geoff,WV,r,1,21.215624756913723
"foster, gregory e",foster gregory,ME,r,2,7.781802098922877
"foster, jaime",foster jaime,CT,d,3,-3.255894176444564
JEFF FOSTER,foster jeff,WI,d,1,-5.829084716551165
MARILYN J FOSTER,foster marilyn,NH,d,1,-0.9366349990429779
"foster, mark t",foster mark,MI,r,1,-29.996100897500874
"foster, neal w",foster neal,AK,d,1,28.620445642293483
"foster, ralph",foster ralph,MT,r,2,-6.50796227363673
"foster, ron d",foster ron,SD,d,2,3.2464758336249937
"foster, sue",foster sue,KY,d,1,-7.3190159099590915
"fougnie, theresa j",fougnie theresa,MI,d,1,-6.493750563115107
"hawj, foung",foung hawj,MN,d,1,1.6129549275069621
FREDRICK FOUNTAIN,fountain fredrick,KY,d,1,-2.360441110869054
"fountain, melinda (mindy)",fountain melinda mindy,IN,d,1,-10.915618450572447
"foushee, valerie p",foushee valerie,NC,d,1,5.965908138837317
"fowke, kathleen",fowke kathleen,MN,r,2,-7.341462021016234
"fowler, kesa",fowler kesa,TN,d,1,-9.188683259992288
RON FOWLER,fowler ron,MO,r,1,-3.722737440517311
"fowlerarthur, sarah",fowlerarthur sarah,OH,r,2,6.449907597988087
FOX,fox,TX,d,1,-5.3073156472743435
JEN FOX,fox jen,MN,d,1,-1.5086287513118144
"fox, joseph d",fox joseph,MI,r,2,0.003591535872757845
"fox, matt",fox matt,KS,d,1,-4.473511897680689
"fox, melissa",fox melissa,CA,d,1,-41.78529991203664
MIKE FOX,fox mike,MT,d,1,11.086422274159398
"fox, steve",fox steve,CA,d,1,-24.72686248209233
"fox, victoria",fox victoria,NC,d,1,-4.249292131934766
LOREN FOXX,foxx loren,NH,d,1,-7.506696275232246
"fraher, nancy r",fraher nancy,NH,d,1,-11.83923780106013
"fraizer, mark d",fraizer mark,OH,r,1,11.773671159612878
SHELLY FRALEY,fraley shelly,MI,d,1,-1.7879539263662956
"france, mike",france mike,CT,r,1,-37.96655912568448
"france, tom",france tom,MT,d,3,-15.325227180172234
"head, frances m",frances head,ME,r,1,-88.4460491598389
"holkjones, frances",frances holkjones,AL,r,1,-8.408083179514605
"hurley, frances a",frances hurley,IL,d,2,11.723391641273901
FRANCES KEENAN,frances keenan,NH,d,1,-30.241010312972804
FRANCES LAKEY,frances lakey,NC,d,1,-2.448558998388073
MARY FRANCES WILLIAMS,frances mary williams,GA,d,1,-6.7456875030323555
FRANCES E NUTTER-UPHAM,frances nutter upham,NH,d,1,36.78006325638858
FRANCES ROLLINSON WEBBER,frances rollinson webber,NC,d,1,-0.0884663471130196
"vinelljackson, frances",frances vinelljackson,NC,d,2,-12.445650411385913
"hong, francesca",francesca hong,WI,d,1,-4.0601534491436695
FRANCIE KLECKLEY,francie kleckley,SC,d,1,0.11724868167723912
"ly, francine",francine ly,TX,d,1,-7.764126730943058
"genco, francis t",francis genco,NY,d,1,-10.561206238534556
JOHN FRANCIS MORAN,francis john moran,MA,d,1,-2.5205919179593224
FRANCIS KALANGALA,francis kalangala,CT,r,1,6.149279053744856
MICHAEL FRANCIS SMITH,francis michael smith,DE,r,1,-25.781133972216413
"odonnell, francis x",francis odonnell,PA,r,1,3.849957047206125
"rexfordcooley, francis",francis rexfordcooley,CT,r,1,-0.32947137208087096
"francis, rick",francis rick,MO,r,1,-16.35766557973446
"francis, ronetta j",francis ronetta,AR,d,1,7.61922424832413
"ryan, francis x",francis ryan,PA,r,1,-3.962762543903306
FRANCIS WILBUR,francis wilbur,NY,r,1,-38.26579094850084
MARCI FRANCISCO,francisco marci,KS,d,1,-0.7131385741186875
FRANK,frank,TX,r,1,-2.5124099698992026
"ginn, franklin j (frank)",frank franklin ginn,GA,r,2,-7.495974539271476
FRED FRANK GIROD,frank fred girod,OR,r,1,-1.0267493796413163
"garner, frank",frank garner,MT,r,1,-17.412935323383085
FRANK GINN,frank ginn,GA,r,1,-3.552340383836448
"hoagland, frank",frank hoagland,OH,r,1,2.2488720911023776
FRANK PATTON HUGHES III,frank hughes patton,NC,d,1,0.3451927083230082
"iler, frank",frank iler,NC,r,3,0.2384494218572435
"frank, james b",frank james,TX,r,1,-4.077541761141717
FRANK JAMES SMITH JR,frank james smith,NM,d,1,-6.304725667924618
FRANK KOSTKA,frank kostka,WI,r,1,1.3091414480206627
FRANK LAMBERT,frank lambert,MI,r,1,-0.8659955353044282
"lombardi, frank s",frank lombardi,RI,d,2,20.281968188674444
"mcneill, frank",frank mcneill,NC,d,1,12.385985916423957
"murtha, frank f",frank murtha,NY,r,1,-5.754615755241634
"nice, frank",frank nice,MD,r,1,26.59829172194216
"pafko, frank",frank pafko,MN,r,1,-0.39315729945730027
FRANK PENDLETON,frank pendleton,MO,r,1,0.13982102447991274
"perman, frank r",frank perman,PA,r,1,4.073835481087844
"petrick, frank",frank petrick,WI,r,1,15.558979183452074
"pomeroy, frank",frank pomeroy,TX,r,1,3.2076713409986617
"pratt, frank",frank pratt,AZ,r,1,-69.07937354865574
"puglisi, frank v",frank puglisi,NY,d,1,-14.092774405470035
"ragsdale, frank",frank ragsdale,NC,r,1,-0.3043418657202146
"ramirez, frank",frank ramirez,TX,d,1,-2.7458486838941623
"ricci, frank t",frank ricci,RI,r,1,9.166733406645676
FRANK ROBERTS,frank roberts,AZ,r,1,4.99667255405123
"roma, frank l",frank roma,ME,d,1,-0.03847441313108746
"smierciak, frank c, ii",frank smierciak,NY,r,2,-0.2493102595927703
"smith, frank",frank smith,CT,d,3,-0.10344847353374434
"smith, frank j",frank smith,MT,d,2,8.215760763387404
"sossamon, frank",frank sossamon,NC,r,2,-1.1949445523755413
STEPHEN FRANK,frank stephen,SC,r,1,-3.4713515525663965
TIMOTHY FRANK TWARDZIK,frank timothy twardzik,PA,r,1,-11.979182929381487
"tomaszewski, frank j",frank tomaszewski,AK,r,1,7.636393953716047
PAUL FRANKLIN FRIEL,franklin friel paul,PA,d,1,3.6950675113401044
"franklin, gallop p",franklin gallop,FL,d,2,-1.865854785557275
JOSEPH FRANKLIN HERNANDEZ,franklin hernandez joseph,NM,d,1,7.521278483845329
"franks, lyn d",franks lyn,AK,d,2,7.076259741178912
"sarpolus, frann",frann sarpolus,NC,r,1,1.3261697861076698
"mathis, franscine c",franscine mathis,FL,d,3,-9.696559393400245
MARY FRANSON,franson mary,MN,r,1,-18.434059255094162
LINDA FRANZ,franz linda,NH,r,1,-4.798454412138236
"franzen, melisa",franzen melisa,MN,d,1,-2.142873211156168
SHERYL R FRASER,fraser sheryl,UT,r,1,1.556723674018592
"frazer, gregory l",frazer gregory,MT,r,1,43.56995426272455
"frazer, quatina",frazer quatina,CT,r,1,-0.6002624486634964
"frazier, frederick",frazier frederick,TX,r,1,-5.254720140906294
"frazier, gloria j",frazier gloria,GA,d,1,-5.80303865730809
"frazier, jim",frazier jim,CA,d,1,2.3349771407912563
MICHELE FRAZIER,frazier michele,NY,d,1,1.4035428884014198
"frazier, ross",frazier ross,MT,d,1,-17.412935323383085
JOHN FRECHETTE,frechette john,NH,r,1,-6.356052551380856
"gardner, fred",fred gardner,KS,r,1,2.203648443304722
"gee, fred, jr",fred gee,CT,d,2,4.594346938737747
"girod, fred f",fred girod,OR,r,1,-14.54421769672878
"glass, fred",fred glass,GA,r,1,53.608462909057806
"glynn, fred",fred glynn,IN,r,1,-6.564010963053029
"hawkins, fred",fred hawkins,FL,r,2,-15.063113583876838
"kelley, fred",fred kelley,AL,r,1,-0.23112450831353204
"martin, fred s",fred martin,ID,r,1,-1.0005041700529693
"patton, fred c",fred patton,KS,r,1,-23.729884342905535
FRED PITMAN,fred pitman,NH,d,1,9.540385063502598
FRED PONZLOV,fred ponzlov,NM,d,1,-11.31099582831568
"rovner, fred",fred rovner,GA,d,1,-4.244418157116733
"thiele, fred w, jr",fred thiele,NY,d,2,-4.988406873632494
"voncanon, fred",fred voncanon,NC,r,2,9.755585972571314
"powellsims, freddie p",freddie powellsims,GA,d,1,12.146836170384745
"rodriguez, freddie",freddie rodriguez,CA,d,2,-13.651646722223537
LUKE FREDERICK,frederick luke,MN,d,1,-0.3958279743596602
MARK FREDERICK ZIMMER,frederick mark zimmer,ME,r,1,5.961246984731684
"moffa, frederick a",frederick moffa,CT,d,1,-15.049615360240487
RON FREDERICK,frederick ron,SD,r,1,-5.1379052202657896
"tappan, frederick d",frederick tappan,TN,r,1,-5.641070123353309
"frederick, terry",frederick terry,KS,r,2,-6.12152015345967
"walls, frederick l",frederick walls,IL,r,2,-0.9103903928569714
"nelson, fredrik e, jr 2",fredrik nelson,WV,r,1,11.509761230740416
"fredsmith, laura",fredsmith laura,IN,d,1,3.4053952783229136
"freedhoff, meredith",freedhoff meredith,OH,r,1,0.7985566279670131
KEVIN GREGORY FREEMAN,freeman gregory kevin,ME,d,1,-0.6001334592819187
"freeman, jameson p",freeman jameson,WV,d,1,0.7146296546863198
"freeman, jason",freeman jason,MT,r,1,13.021627079035405
"freeman, kevin g",freeman kevin,ME,d,1,-4.834467589384662
WILLIAM PARK FREEMAN,freeman park william,GA,r,1,0.8964897861897896
WHITNEY SHEREE FREEMAN,freeman sheree whitney,AR,d,1,0.37418832936940305
"freeman, stephanos",freeman stephanos,MO,r,2,2.895734705506358
JUDY FREIBERG,freiberg judy,FL,d,1,-1.4432540195046535
MIKE FREIBERG,freiberg mike,MN,d,1,-1.2427931925428481
"frelich, kathy",frelich kathy,ND,r,1,-19.107177544400912
"french, harold f 3",french harold,NH,r,1,-13.69193544057454
"french, kathryn c",french kathryn,PA,r,1,0.7170848478297565
"french, kerry",french kerry,WA,r,1,16.547625822659363
RAEGAN FRENCH LAROCHELLE,french larochelle raegan,ME,d,1,2.1274913579546926
JENNIFER FRENSLEY WEBB,frensley jennifer webb,TN,r,1,1.5646624973043206
"frentz, nick",frentz nick,MN,d,2,24.75040373807088
"frese, randy e",frese randy,IL,r,1,-20.101335873801226
"fretwell, scot",fretwell scot,FL,d,1,-44.71678334031
FREY,frey,TX,d,1,-2.519416186921532
"fricke, nina",fricke nina,KS,d,1,3.069374044719275
"friedman, laura",friedman laura,CA,d,2,-1.9694262547375558
GARY FRIEDMANN,friedmann gary,ME,d,1,-5.277873741910227
"wilms, friedrich n",friedrich wilms,CT,r,1,-18.13052712283428
"friel, paul f, jr",friel paul,PA,d,2,-9.065856702571288
"friend, jack",friend jack,IA,d,1,-13.214871707144354
"frierson, jason",frierson jason,NV,d,1,4.08656887834713
"friese, randall (randy)",friese randall randy,AZ,d,1,39.72217905272905
STEVE FRISBIE,frisbie steve,MI,r,1,3.7276088981490054
"friske, neil w",friske neil,MI,r,1,2.2816095573455577
"fritts, monty",fritts monty,TN,r,1,-1.8484793856725474
"fritz,",fritz,SC,d,1,-12.376372216688232
"fritz, helmut",fritz helmut,WI,r,1,-4.051116525671127
J FRITZ WIEBEL,fritz wiebel,SC,d,1,-4.525788916762604
"frizell, lisa",frizell lisa,CO,r,2,-8.995330303428346
"froelich, meg",froelich meg,CO,d,3,-9.460426973324143
"frommeyer, shelley (funke)",frommeyer funke shelley,KY,r,1,2.0165300547079674
"frontus, mathylde",frontus mathylde,NY,d,2,-3.9123762907854913
GREGG FROSTROM JR,frostrom gregg,AZ,d,1,-32.32476621988949
"fruechting, vail",fruechting vail,KS,r,1,-4.219298933955766
"frullo, john",frullo john,TX,r,1,-5.690049791202437
"frump, megan",frump megan,MI,r,1,14.073923281311131
"fry, joel",fry joel,IA,r,1,-51.00219045450341
"fry, timothy d, ii",fry timothy,KS,d,1,-17.191147569303407
"fryhester, katie",fryhester katie,MD,d,1,-11.238319696910843
"fryzel, melissa k",fryzel melissa,NM,r,1,11.76492386948108
"fueger, victoria",fueger victoria,WI,r,2,-30.186280519491064
"fulcher, tommy",fulcher tommy,NC,d,1,-9.267714309411119
VIVIAN FULK,fulk vivian,NC,d,1,-0.17701214748181826
"fuller, greg",fuller greg,DE,d,1,-15.548106783278254
"fuller, john",fuller john,MT,r,1,5.990427387409092
"fuller, pete",fuller pete,GA,d,1,-9.069928039111083
"fuller, scott w",fuller scott,RI,r,1,-11.777009586161384
SCOTT FULLER,fuller scott,WV,r,1,22.448171825237736
"fuller, terry",fuller terry,AR,r,1,-4.28175992621575
"funk, moffie",funk moffie,MT,d,1,4.284937917759085
STEPHANIE FUNK,funk stephanie,AR,d,1,-0.7561407505806006
JOE FUNKHOUSER,funkhouser joe,WV,r,1,-1.548513478020901
"funksypolt, terri",funksypolt terri,WV,r,1,-1.50139611014459
TONY FURMAN,furman tony,AR,r,1,-0.2658432740631689
"furniss, rod",furniss rod,ID,r,1,-3.3795097017640074
FURQUAN STAFFORD,furquan stafford,GA,r,1,0.8666004725748451
"furrow, suzette",furrow suzette,ME,r,1,6.861443492647263
"fusco, john 2",fusco john,CT,r,1,-16.94231919194648
ROBIN FUXA,fuxa robin,OK,d,1,1.1372010555167797
SHELLY R FYANT,fyant shelly,MT,d,1,-8.706421366548312
"gabaldon, rosanna",gabaldon rosanna,AZ,d,2,14.53764438886107
"gabbard, mike",gabbard mike,HI,d,1,16.783275698042818
GABBY MACARAEG,gabby macaraeg,HI,r,1,15.644876513339842
"salinas, gabby",gabby salinas,TN,d,1,-9.068459419613273
GABBY SHANAHAN,gabby shanahan,IL,r,1,-0.24151725501016408
"okoye, gabe",gabe okoye,GA,d,2,-2.354962158796086
"pena, gabe",gabe pena,WV,d,1,26.441485737752274
"sachwitz, gabe",gabe sachwitz,WA,r,2,-5.386186048700204
GABE WOOLLEY,gabe woolley,OK,r,1,2.7269825536377326
"gabel, robyn",gabel robyn,IL,d,2,-10.45171330755797
WYATT GABLE,gable wyatt,NC,r,1,-0.8152779810251971
JON A GABLINSKE,gablinske jon,NH,r,1,-1.1467008965441756
"gonzalez, gabriel",gabriel gonzalez,FL,d,1,-10.123714786186127
"gabriel, jesse",gabriel jesse,CA,d,3,-0.7167331919736952
"jones, gabriel",gabriel jones,MO,r,1,0.9828138335857384
"perkins, gabriel m",gabriel perkins,ME,d,1,-29.463923133989507
GABRIEL SANCHEZ,gabriel sanchez,GA,d,1,-7.741797864101805
GABRIELA KROETCH,gabriela kroetch,MN,r,1,-4.717764759386263
GABRIELLA M MENDEZ,gabriella mendez,PA,r,1,2.385842922531923
GABRIELLA A ROMERO,gabriella romero,NY,d,1,-6.363650792708071
GABY GROSSMAN,gaby grossman,NH,d,1,10.188555338345047
SUJATA GADKAR-WILCOX,gadkar sujata wilcox,CT,d,1,-0.5680506970457309
"gadkarwilcox, sujata",gadkarwilcox sujata,CT,d,2,-12.46388480540593
"gadman, vera",gadman vera,ID,d,1,-16.66813545485266
"magnafici, gae",gae magnafici,WI,r,2,3.3585670416666407
"gagliardo, vincent d, jr",gagliardo vincent,PA,r,2,10.615352083548952
"gaglio, peter t, jr",gaglio peter,PA,r,1,-5.951731416927512
LARRY G GAGNE,gagne larry,NH,r,1,-31.6943372116829
"gaiason, scott n",gaiason scott,ME,d,2,-6.525225494069588
"griffin, gail",gail griffin,AZ,r,3,-22.96502960288593
"newman, gail a",gail newman,PA,r,1,-2.5808399645037206
"pavliga, gail",gail pavliga,OH,r,2,9.331780466614385
"pellerin, gail",gail pellerin,CA,d,2,-11.452297829397509
"tosh, gail e",gail tosh,NY,d,1,-18.775078938497423
"young, gail",gail young,NC,d,1,30.246634194495286
"gailliard, james d",gailliard james,NC,d,2,-3.5182774747676935
"gaines, houston",gaines houston,GA,r,3,-25.60980333107669
"gaiser, madeleine",gaiser madeleine,AK,r,1,8.625727797037761
"galaviz, sonia",galaviz sonia,ID,d,1,1.0078737398275912
"gale, julianne",gale julianne,WA,d,1,-12.238182924892445
"mastrofrancesco, gale l",gale mastrofrancesco,CT,r,1,0.8121519193382056
"galef, sandra r (sandy)",galef sandra sandy,NY,d,1,-1.379129695651077
GINA GALFETTI,galfetti gina,VT,r,1,-26.58256259367851
"gallagher, james",gallagher james,CA,r,2,-13.683727872169761
JAMIE GALLAGHER,gallagher jamie,CA,r,1,-13.361873093499316
"gallagher, marty",gallagher marty,OH,r,1,-0.4723331955772254
"gallahan, jeff l",gallahan jeff,NY,r,2,-8.839544982053699
"gallant, timothy j",gallant timothy,ME,r,1,5.200250518677954
KARL GALLEGOS,gallegos karl,GA,d,1,-7.2344410293661205
"galletta, joseph c",galletta joseph,ME,r,1,-12.292136851688094
"gallick, sherri",gallick sherri,MO,r,1,-1.9547655990531538
"gallivan, patrick m",gallivan patrick,NY,r,1,-104.4495408324305
"gallo, hanna m",gallo hanna,RI,d,1,6.424839857959627
"galloway, john t",galloway john,PA,d,1,9.587281186793824
"galloway, steven e",galloway steven,MT,r,2,11.467587620387903
"galonski, tavia",galonski tavia,OH,d,2,8.583631862079752
"galt, nerissa b",galt nerissa,PA,d,1,-3.43220449478428
E WYLIE GALT,galt wylie,MT,r,1,-0.5839368309453761
"gamba, mark f",gamba mark,OR,d,1,-1.9291755039354967
"gambrell, michael w",gambrell michael,SC,r,1,-8.608635986989384
"gamroth, ian r",gamroth ian,IN,d,1,-7.108683408962108
STEVE GANDER,gander steve,MN,r,1,-2.1714543980286933
"gandolfo, jarett c",gandolfo jarett,NY,r,2,-11.30229592107037
"gane, kim j",gane kim,MI,d,1,-6.202013186165535
"ganley, peter g, iii",ganley peter,NY,r,1,-6.093756699633223
"gannon, john l",gannon john,ID,d,2,8.581217389388906
NEAL GANSER,ganser neal,MT,r,1,8.080203080282192
"gansert, heidi s",gansert heidi,NV,r,1,-18.73592611643134
RON M GANT,gant ron,TN,r,1,-3.269848156602059
"ganzer, jed o v",ganzer jed,IA,d,1,-4.861856831157091
"gapske, laura r",gapske laura,WI,d,1,-18.874027161189627
GARCIA,garcia,TX,d,1,0.9588117402474019
GARCIA,garcia,TX,r,1,24.21329359745433
"garcia, harry 2",garcia harry,NM,d,1,-2.7144474754134222
GARCIA HERNANDEZ,garcia hernandez,TX,d,1,-3.1398914433114307
"garcia, ileana",garcia ileana,FL,r,2,-11.766615503837349
"garcia, jimmie",garcia jimmie,TX,r,1,20.82399340763356
JOANNA GARCIA ROSE,garcia joanna rose,CA,r,1,10.462380962193254
"garcia, joey",garcia joey,WV,d,3,25.620051486324357
JOSEPHINE GARCIA,garcia josephine,SD,r,1,-15.862412510686454
"garcia, josey",garcia josey,TX,d,1,5.089126646764811
"garcia, juan",garcia juan,OK,d,1,19.133359357700996
LORENA GARCIA,garcia lorena,CO,d,1,5.3349322051598485
LORI GARCIA SANDER,garcia lori sander,CO,r,1,-9.274759910038586
"garcia, miguel p",garcia miguel,NM,d,2,4.606392412801654
RICK GARCIA,garcia rick,WV,d,1,21.747007975946882
"garcia, robert (rob)",garcia rob robert,WV,d,2,27.1794268836821
"garcia, tammy",garcia tammy,FL,d,1,-37.0850806401366
VICTORIA GARCIA,garcia victoria,CA,r,1,3.6765833465627686
VICTORIA GARCIA WILBURN,garcia victoria wilburn,IN,d,1,-4.54021906149226
"garcia, wendy",garcia wendy,AZ,d,1,-63.48900430124115
"garcia, will",garcia will,MI,d,1,-25.520971820374218
"garciasnyder, gary",garciasnyder gary,AZ,r,1,0.5163865575048714
"garciawilburn, victoria",garciawilburn victoria,IN,d,1,-6.564010963053029
"gardenhire, todd",gardenhire todd,TN,r,2,3.788761851409461
"gardner, raymond e",gardner raymond,RI,r,2,-3.813215746016054
"gardner, robert",gardner robert,CO,r,1,-24.305278552011742
"gardner, ryan",gardner ryan,OR,r,1,-18.674392999431632
VIRGINIA A GARDNER,gardner virginia,MA,r,1,-6.841392528595556
"garffballard, melissa",garffballard melissa,UT,r,2,-20.293087070089946
GARFIELD SCOTT,garfield scott,TN,d,1,-3.1058571414659824
"gargiulo, louis",gargiulo louis,NH,r,2,-11.170560771659066
MICHAEL GARGIULO,gargiulo michael,GA,r,1,-0.7027191654650125
"garibay, jane m",garibay jane,CT,d,3,-16.912696011155433
"pierce, garland e",garland pierce,NC,d,3,2.288229630061379
"shreves, garland",garland shreves,AZ,r,1,61.96083468945703
GARNER MUSASHI SHIMIZU,garner musashi shimizu,HI,r,1,-22.315468540742668
"shimizu, garner m",garner shimizu,HI,r,1,-21.24119703041902
"garner, trent",garner trent,AR,r,1,-4.449282966472708
"GOLRANG ""REY"" GAROFANO",garofano golrang rey,VT,d,1,-1.0970706619970372
"garratt, joy i",garratt joy,NM,d,2,-7.4003385301154205
