code,state,chamber,district,vap_total,vap_white_pct,vap_black_pct,vap_hisp_pct,vap_asian_pct,vap_native_pct,vap_pac_pct,vap_minor_pct
WA-H-6,WA,lower,6,122240.0,80.82,3.24,5.75,4.28,4.47,1.35,19.18
WA-H-7,WA,lower,7,115263.0,76.63,0.74,11.87,1.39,8.44,0.36,23.37
WA-H-8,WA,lower,8,114857.0,68.57,2.14,21.47,4.28,3.13,0.58,31.43
WA-H-9,WA,lower,9,126178.0,79.89,2.25,8.76,5.23,3.29,0.61,20.11
WA-H-10,WA,lower,10,125903.0,79.38,2.73,7.71,5.26,3.9,0.85,20.62
WA-H-11,WA,lower,11,123591.0,43.01,12.75,12.86,28.56,2.83,1.7,56.99
WA-H-12,WA,lower,12,120678.0,74.55,1.54,15.93,4.01,3.17,0.56,25.45
WA-H-13,WA,lower,13,114958.0,63.32,1.37,29.34,2.38,3.81,0.4,36.68
WA-H-14,WA,lower,14,106707.0,25.94,1.42,64.56,1.51,9.31,0.3,74.06
WA-H-15,WA,lower,15,117291.0,63.07,1.36,29.53,2.24,4.17,0.33,36.93
WA-H-16,WA,lower,16,121546.0,67.75,2.54,22.64,3.6,3.36,0.63,32.25
WA-H-17,WA,lower,17,121479.0,76.16,2.53,8.54,8.18,3.28,1.17,23.84
WA-H-18,WA,lower,18,118630.0,78.0,2.82,8.5,6.24,3.26,1.23,22.0
WA-H-19,WA,lower,19,124264.0,81.46,1.62,7.65,2.52,5.53,0.83,18.54
WA-H-20,WA,lower,20,121038.0,84.55,1.06,6.94,2.29,3.9,0.49,15.45
WA-H-21,WA,lower,21,125294.0,59.31,6.54,10.86,19.94,2.64,1.26,40.69
WA-H-22,WA,lower,22,125190.0,72.91,4.89,7.97,9.31,3.85,1.69,27.09
WA-H-23,WA,lower,23,126162.0,74.67,3.99,7.45,8.89,4.08,1.62,25.33
WA-H-24,WA,lower,24,131820.0,82.82,1.3,5.2,2.57,7.03,0.5,17.18
WA-H-25,WA,lower,25,120553.0,69.38,6.56,9.68,9.15,3.88,2.22,30.62
WA-H-26,WA,lower,26,125759.0,78.42,3.63,6.74,6.13,3.59,1.52,21.58
WA-H-27,WA,lower,27,127513.0,64.09,11.59,9.34,10.57,3.76,2.2,35.91
WA-H-28,WA,lower,28,121097.0,56.8,14.07,12.64,12.31,3.29,3.27,43.2
WA-H-29,WA,lower,29,116460.0,48.98,15.02,14.99,14.64,4.85,4.37,51.02
WA-S-30,WA,upper,30,120074.0,46.6,13.06,17.24,17.67,3.54,3.93,53.4
WA-S-31,WA,upper,31,117618.0,75.45,3.67,7.81,7.01,4.73,1.53,24.55
WA-S-32,WA,upper,32,127189.0,61.33,7.43,9.66,18.34,2.87,1.0,38.67
WA-S-33,WA,upper,33,122683.0,45.67,14.74,17.54,17.43,3.42,3.03,54.33
WA-S-34,WA,upper,34,129268.0,62.1,8.49,11.75,14.4,3.25,1.05,37.9
WA-S-35,WA,upper,35,124774.0,79.77,2.29,7.18,4.44,5.2,1.08,20.23
WA-S-36,WA,upper,36,133683.0,72.36,3.27,6.37,15.11,2.09,0.53,27.64
WA-S-37,WA,upper,37,128552.0,39.27,18.94,8.51,31.56,2.53,0.97,60.73
WA-S-38,WA,upper,38,121897.0,65.83,5.15,12.89,9.99,5.58,1.4,34.17
WA-S-39,WA,upper,39,119792.0,79.7,2.0,8.1,5.04,3.99,0.76,20.3
WA-S-40,WA,upper,40,128419.0,78.34,1.59,10.84,5.21,3.06,0.69,21.66
WA-S-41,WA,upper,41,119412.0,54.62,2.83,5.09,35.68,1.3,0.46,45.38
WA-S-42,WA,upper,42,123074.0,76.31,1.75,9.57,6.07,5.53,0.72,23.69
WA-S-43,WA,upper,43,144732.0,60.72,5.49,7.16,24.4,1.91,0.62,39.28
WA-S-44,WA,upper,44,116908.0,66.76,3.01,7.07,19.75,2.29,0.74,33.24
WA-S-1,WA,upper,1,122294.0,67.39,3.13,7.35,18.78,2.29,0.74,32.61
WA-S-45,WA,upper,45,118354.0,64.75,2.55,6.57,23.39,1.71,0.43,35.25
WA-S-46,WA,upper,46,131288.0,64.19,5.59,7.45,20.05,2.23,0.63,35.81
WA-S-2,WA,upper,2,118835.0,71.62,5.93,8.77,7.49,4.54,2.53,28.38
WA-S-47,WA,upper,47,119643.0,53.43,9.5,11.11,21.84,2.88,2.45,46.57
WA-S-3,WA,upper,3,125095.0,80.5,3.69,5.94,4.01,4.52,1.04,19.5
WA-S-48,WA,upper,48,125777.0,49.33,2.94,6.73,39.15,1.27,0.42,50.67
WA-S-4,WA,upper,4,121653.0,85.12,2.12,5.09,2.91,3.52,0.74,14.88
WA-S-49,WA,upper,49,123602.0,70.93,4.61,13.52,5.85,3.92,2.02,29.07
WA-S-5,WA,upper,5,117965.0,73.17,2.47,6.49,14.49,2.57,0.66,26.83
WA-S-6,WA,upper,6,122240.0,80.82,3.24,5.75,4.28,4.47,1.35,19.18
WA-S-7,WA,upper,7,115263.0,76.63,0.74,11.87,1.39,8.44,0.36,23.37
WA-S-8,WA,upper,8,114857.0,68.57,2.14,21.47,4.28,3.13,0.58,31.43
WA-S-9,WA,upper,9,126178.0,79.89,2.25,8.76,5.23,3.29,0.61,20.11
WA-S-10,WA,upper,10,125903.0,79.38,2.73,7.71,5.26,3.9,0.85,20.62
WA-S-11,WA,upper,11,123591.0,43.01,12.75,12.86,28.56,2.83,1.7,56.99
WA-S-12,WA,upper,12,120678.0,74.55,1.54,15.93,4.01,3.17,0.56,25.45
WA-S-13,WA,upper,13,114958.0,63.32,1.37,29.34,2.38,3.81,0.4,36.68
WA-S-14,WA,upper,14,106707.0,25.94,1.42,64.56,1.51,9.31,0.3,74.06
WA-S-15,WA,upper,15,117291.0,63.07,1.36,29.53,2.24,4.17,0.33,36.93
WA-S-16,WA,upper,16,121546.0,67.75,2.54,22.64,3.6,3.36,0.63,32.25
