code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
OK-H-65,40065,OK,lower,65,State House District 65,12328.0,3173.0,8529.0,13128.0,3584.0,9252.0,13970.0,3566.0,10141.0,-45.76995385404204,-44.157058273605486,-47.9681914350332
OK-H-67,40067,OK,lower,67,State House District 67,17576.0,5228.0,11286.0,17987.0,6476.0,11004.0,0.0,0.0,0.0,-36.68402567518469,-25.903890160183067,
OK-H-70,40070,OK,lower,70,State House District 70,19742.0,8296.0,10074.0,19388.0,9694.0,9169.0,0.0,0.0,0.0,-9.678824169842134,2.7832264220961673,
OK-H-72,40072,OK,lower,72,State House District 72,9667.0,5357.0,3691.0,11409.0,6919.0,4163.0,0.0,0.0,0.0,18.41290893015031,24.86915719184263,
OK-H-75,40075,OK,lower,75,State House District 75,10699.0,3717.0,6360.0,12566.0,5197.0,7040.0,0.0,0.0,0.0,-26.22804406073236,-15.060880934869658,
OK-H-78,40078,OK,lower,78,State House District 78,16073.0,7834.0,7119.0,16407.0,9121.0,6793.0,0.0,0.0,0.0,4.7816491673911585,14.628628880231243,
OK-H-80,40080,OK,lower,80,State House District 80,15320.0,3746.0,10686.0,17456.0,5207.0,11823.0,0.0,0.0,0.0,-48.08758314855876,-38.849089841456255,
OK-H-82,40082,OK,lower,82,State House District 82,13331.0,4194.0,8204.0,14930.0,5788.0,8757.0,0.0,0.0,0.0,-32.343926439748344,-20.412512891027845,
OK-H-85,40085,OK,lower,85,State House District 85,18816.0,8327.0,8989.0,18779.0,9666.0,8577.0,0.0,0.0,0.0,-3.8230538230538227,5.969412925505673,
OK-H-87,40087,OK,lower,87,State House District 87,13352.0,6377.0,5791.0,14334.0,8397.0,5497.0,0.0,0.0,0.0,4.815910585141355,20.872318986612925,
OK-H-92,40092,OK,lower,92,State House District 92,6673.0,3487.0,2704.0,7625.0,4644.0,2764.0,0.0,0.0,0.0,12.647391374575998,25.377969762419006,
OK-H-94,40094,OK,lower,94,State House District 94,13437.0,5891.0,6573.0,13234.0,6935.0,5885.0,0.0,0.0,0.0,-5.47175866495507,8.190327613104524,
OK-H-95,40095,OK,lower,95,State House District 95,13966.0,5023.0,7919.0,15354.0,7043.0,7843.0,1857.0,516.0,1309.0,-22.376757842682736,-5.374177079134757,-43.45205479452055
OK-H-97,40097,OK,lower,97,State House District 97,15329.0,10741.0,3877.0,17051.0,12271.0,4382.0,0.0,0.0,0.0,46.95580790805855,47.37284573350147,
OK-H-99,40099,OK,lower,99,State House District 99,12580.0,9530.0,2335.0,14410.0,11444.0,2531.0,0.0,0.0,0.0,60.640539401601345,63.77817531305904,
OK-H-101,40101,OK,lower,101,State House District 101,17383.0,5175.0,11095.0,19358.0,7042.0,11832.0,0.0,0.0,0.0,-36.3859864781807,-25.378828017378403,
OK-H-100,40100,OK,lower,100,State House District 100,14907.0,5829.0,7992.0,15577.0,7427.0,7767.0,0.0,0.0,0.0,-15.650097677447365,-2.237725417928129,
OK-H-69,40069,OK,lower,69,State House District 69,16035.0,4264.0,10828.0,17300.0,5291.0,11614.0,0.0,0.0,0.0,-43.493241452425124,-37.40313516711032,
OK-H-98,40098,OK,lower,98,State House District 98,12843.0,3087.0,8989.0,14201.0,4227.0,9631.0,9813.0,3033.0,6572.0,-48.87379927128188,-38.99552604993505,-36.845393024466425
OK-H-86,40086,OK,lower,86,State House District 86,13685.0,3060.0,9931.0,14712.0,3019.0,11412.0,14806.0,2860.0,11709.0,-52.890462627973214,-58.159517704940754,-60.73855446495985
OK-H-96,40096,OK,lower,96,State House District 96,16063.0,5218.0,9764.0,17735.0,6520.0,10800.0,0.0,0.0,0.0,-30.343078360699504,-24.71131639722864,
OK-H-81,40081,OK,lower,81,State House District 81,14744.0,4681.0,8760.0,15044.0,5859.0,8699.0,0.0,0.0,0.0,-30.34744438657838,-19.508174199752712,
OK-H-68,40068,OK,lower,68,State House District 68,14075.0,4017.0,9167.0,15583.0,5283.0,9911.0,697.0,239.0,445.0,-39.0625,-30.459391865209952,-30.116959064327485
OK-H-71,40071,OK,lower,71,State House District 71,15040.0,7593.0,6326.0,14486.0,7989.0,6051.0,0.0,0.0,0.0,9.102665421366478,13.803418803418804,
OK-H-73,40073,OK,lower,73,State House District 73,10931.0,9454.0,1111.0,12831.0,11131.0,1394.0,2516.0,2081.0,385.0,78.96829152863228,77.74051896207584,68.77534468775345
OK-H-84,40084,OK,lower,84,State House District 84,14619.0,4808.0,8644.0,15231.0,6557.0,8210.0,0.0,0.0,0.0,-28.516205768658935,-11.19387824202614,
OK-H-89,40089,OK,lower,89,State House District 89,5796.0,3211.0,2219.0,6576.0,4192.0,2227.0,0.0,0.0,0.0,18.268876611418047,30.612244897959183,
OK-H-91,40091,OK,lower,91,State House District 91,16751.0,4535.0,11259.0,18158.0,6082.0,11650.0,17993.0,6463.0,11166.0,-42.57312903634292,-31.400857207308817,-26.677633444891942
OK-H-77,40077,OK,lower,77,State House District 77,10171.0,4445.0,5042.0,10880.0,5624.0,4952.0,0.0,0.0,0.0,-6.292821756087277,6.354009077155824,
OK-H-4,40004,OK,lower,4,State House District 4,13197.0,4516.0,7826.0,14124.0,5053.0,8688.0,14688.0,4967.0,9425.0,-26.81899205963377,-26.45367877155957,-30.975541967759867
