race_code,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside
PA-05,990586,0,0,448590,0,0,0.0,0.0
PA-06,1763415,411270,0,4037759,213449,0,0.0,0.0
PA-07,2392215,4357405,0,1018423,2938717,0,2726491.0,312372.0
PA-08,4609589,5234586,0,3406710,2608048,0,104423.0,0.0
PA-09,697865,1903078,0,386883,170733,0,0.0,0.0
PA-10,6364069,5194925,0,4478639,2845976,0,97404.0,107526.0
PA-11,214230,1524161,0,47150,810787,0,0.0,0.0
PA-12,1466287,17477,0,1649288,6805,0,43068.0,0.0
PA-13,55347,2418119,0,16053,3759995,0,0.0,0.0
PA-14,201421,4209644,0,34707,990681,0,0.0,0.0
PA-15,139521,1851459,0,87343,829752,0,1788.0,0.0
PA-16,66591,1168433,0,37534,1329347,0,0.0,0.0
PA-17,2776943,21506,0,1073975,839,0,0.0,0.0
RI-01,1507413,0,0,1734227,0,0,0.0,0.0
RI-02,1249772,2893809,0,1588340,1440657,0,0.0,0.0
SC-01,2279585,556418,0,412020,78533,0,770636.0,1155075.0
SC-02,12410,861105,0,218,182912,0,0.0,0.0
SC-03,40413,505333,0,17299,218741,0,0.0,5979.0
SC-04,31787,1598225,0,-3075,77225,0,0.0,487316.0
SC-05,139717,884284,0,74508,599621,0,0.0,0.0
SC-06,1225051,0,0,1634793,0,0,0.0,0.0
SC-07,297264,1720803,0,62378,1038817,0,0.0,0.0
SD-01,0,0,0,0,0,0,0.0,0.0
TN-01,92445,1228936,0,22462,2002792,0,0.0,13375.0
TN-02,363437,2302907,0,70914,1052623,0,0.0,0.0
TN-03,140,2319124,0,70,4838423,0,0.0,0.0
TN-04,52227,524813,0,3646,524597,0,0.0,0.0
TN-05,2490106,590480,0,1556521,67235,0,0.0,284593.0
TN-06,77511,1502905,0,29240,952186,0,0.0,29501.0
TN-07,794111,2262074,0,76888,276506,0,1658286.0,2781936.0
TN-08,0,2220455,0,0,3118534,0,0.0,0.0
TN-09,2201980,1426525,0,798929,856613,0,0.0,467582.0
TX-01,0,1797848,0,0,777546,0,0.0,0.0
TX-02,2729677,824450,0,1469201,152935,0,1842767.0,519477.0
TX-03,446506,645503,0,43878,212694,0,0.0,0.0
TX-04,16271,790505,0,2086,1097026,0,0.0,0.0
TX-05,20748,1341647,0,4035,1329417,0,0.0,0.0
TX-06,44283,4660385,0,13638,2483402,0,0.0,34293.0
TX-07,1426057,76578,0,1702706,6342,0,0.0,0.0
TX-08,11974,2064033,0,410,122187,0,0.0,1744167.0
TX-09,55358,2080514,0,18658,362040,0,567688.0,5110648.0
TX-10,363959,2559185,0,92140,119627,0,0.0,1574333.0
TX-11,89281,3189023,0,46790,2881724,0,0.0,0.0
TX-12,0,1756535,0,0,1508861,0,0.0,0.0
